Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides 20140618_02_30PP_800fmol	Razor + unique peptides 20140618_02_30PP_800fmol	Unique peptides 20140618_02_30PP_800fmol	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Experiment 20140618_02_30PP_800fmol	PEP	Sequence coverage 20140618_02_30PP_800fmol [%]	Intensity	Intensity 20140618_02_30PP_800fmol	LFQ intensity 20140618_02_30PP_800fmol	MS/MS Count 20140618_02_30PP_800fmol	Only identified by site	Reverse	Contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS
sp|Q3BJS0|FOXN5_XENLA;REV__sp|Q6XV52|NRAM_I61A0;REV__sp|P03476|NRAM_I71A2	sp|Q3BJS0|FOXN5_XENLA;REV__sp|Q6XV52|NRAM_I61A0;REV__sp|P03476|NRAM_I71A2	1;1;1	1;1;1	1;1;1	>sp|Q3BJS0|FOXN5_XENLA Forkhead box protein N5 OS=Xenopus laevis GN=foxn5 PE=2 SV=1;>sp|Q6XV52|NRAM_I61A0 Neuraminidase OS=Influenza A virus (strain A/Tern/South Africa/1961 H5N3) GN=NA PE=3 SV=1;>sp|P03476|NRAM_I71A2 Neuraminidase OS=Influenza A virus (st	3	1	1	1	1	1	1	2.4	2.4	2.4	34.383	295	295;469;469	1	0.007685	2.4	487730	487730	487730	1				0	4	True	4	7	10	10
REV__sp|Q3TBD2|HMHA1_MOUSE;REV__sp|Q92619|HMHA1_HUMAN;REV__sp|Q5RB40|HMHA1_PONAB	REV__sp|Q3TBD2|HMHA1_MOUSE;REV__sp|Q92619|HMHA1_HUMAN;REV__sp|Q5RB40|HMHA1_PONAB	1;1;1	1;1;1	1;1;1	>sp|Q3TBD2|HMHA1_MOUSE Minor histocompatibility protein HA-1 OS=Mus musculus GN=Hmha1 PE=1 SV=2;>sp|Q92619|HMHA1_HUMAN Minor histocompatibility protein HA-1 OS=Homo sapiens GN=HMHA1 PE=1 SV=2;>sp|Q5RB40|HMHA1_PONAB Minor histocompatibility protein HA-1 OS=	3	1	1	1	1	1	1	0	0	0	122.9	1116	1116;1136;1163	1	0.0074722	0	43717000	43717000	43717000	1		+		1	12	True	12	16	19	19
sp|A2WLS0|MT3A_ORYSI;sp|A1YTM8|MT3A_ORYSJ;sp|A3B0Y1|MT3B_ORYSJ	sp|A2WLS0|MT3A_ORYSI;sp|A1YTM8|MT3A_ORYSJ;sp|A3B0Y1|MT3B_ORYSJ	1;1;1	1;1;1	1;1;1	>sp|A2WLS0|MT3A_ORYSI Metallothionein-like protein 3A OS=Oryza sativa subsp. indica GN=MT3A PE=3 SV=1;>sp|A1YTM8|MT3A_ORYSJ Metallothionein-like protein 3A OS=Oryza sativa subsp. japonica GN=MT3A PE=2 SV=1;>sp|A3B0Y1|MT3B_ORYSJ Metallothionein-like protein	3	1	1	1	1	1	1	21	21	21	6.4202	62	62;62;65	1	0.0099161	21	1864800	1864800	1864800	1				2	19	True	19	23	26	26
sp|B9DRV0|ADDA_STRU0	sp|B9DRV0|ADDA_STRU0	1	1	1	>sp|B9DRV0|ADDA_STRU0 ATP-dependent helicase/nuclease subunit A OS=Streptococcus uberis (strain ATCC BAA-854 / 0140J) GN=addA PE=3 SV=1	1	1	1	1	1	1	1	0.7	0.7	0.7	140.9	1220	1220	1	0.0023906	0.7	13343000	13343000	13343000	1				3	5	True	5	8	11	11
sp|P0DJA4|INVB_ZYMMO;sp|F8DT27|INVB_ZYMMA	sp|P0DJA4|INVB_ZYMMO;sp|F8DT27|INVB_ZYMMA	1;1	1;1	1;1	>sp|P0DJA4|INVB_ZYMMO Extracellular sucrase OS=Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4) GN=sacC PE=3 SV=1;>sp|F8DT27|INVB_ZYMMA Extracellular sucrase OS=Zymomonas mobilis subsp. mobilis (strain ATCC 10988 / DSM 424 / LMG 404 / NCIMB	2	1	1	1	1	1	1	1.7	1.7	1.7	46.1	413	413;413	1	0.007562	1.7	1328000	1328000	1328000	1				4	11	True	11	15	18	18
sp|O29441|Y817_ARCFU	sp|O29441|Y817_ARCFU	1	1	1	>sp|O29441|Y817_ARCFU Uncharacterized protein AF_0817 OS=Archaeoglobus fulgidus (strain ATCC 49558 / VC-16 / DSM 4304 / JCM 9628 / NBRC 100126) GN=AF_0817 PE=4 SV=1	1	1	1	1	1	1	1	1.5	1.5	1.5	70.225	619	619	1	0.0033055	1.5	820340	820340	820340	1				5	0	True	0	0	0	0
sp|P68502|MTB_SALAL;sp|P68501|MTB_ONCMY;sp|P25127|MT_ESOLU;sp|P68505|MTA_SALAL;sp|P68504|MTA_SALSA;sp|P68503|MTA_ONCMY	sp|P68502|MTB_SALAL;sp|P68501|MTB_ONCMY;sp|P25127|MT_ESOLU;sp|P68505|MTA_SALAL;sp|P68504|MTA_SALSA;sp|P68503|MTA_ONCMY	1;1;1;1;1;1	1;1;1;1;1;1	1;1;1;1;1;1	>sp|P68502|MTB_SALAL Metallothionein B OS=Salvelinus alpinus GN=mtb PE=3 SV=1;>sp|P68501|MTB_ONCMY Metallothionein B OS=Oncorhynchus mykiss GN=mtb PE=3 SV=1;>sp|P25127|MT_ESOLU Metallothionein OS=Esox lucius GN=mt PE=3 SV=1;>sp|P68505|MTA_SALAL Metallothio	6	1	1	1	1	1	1	35	35	35	6.0331	60	60;60;60;61;61;61	1	5.7404E-07	35	6053700	6053700	6053700	1				6	22	True	22	28	31	31
sp|P48073|RBL_EUGPI	sp|P48073|RBL_EUGPI	1	1	1	>sp|P48073|RBL_EUGPI Ribulose bisphosphate carboxylase large chain (Fragment) OS=Euglena pisciformis GN=rbcL PE=2 SV=1	1	1	1	1	1	1	1	2.8	2.8	2.8	47.879	435	435	1	0.0068071	2.8	707480	707480	707480	1				7	6	True	6	9	12	12
sp|P48182|ACR2_CAEEL	sp|P48182|ACR2_CAEEL	1	1	1	>sp|P48182|ACR2_CAEEL Acetylcholine receptor subunit beta-type acr-2 OS=Caenorhabditis elegans GN=acr-2 PE=2 SV=1	1	1	1	1	1	1	1	2.8	2.8	2.8	65.594	575	575	1	0.010162	2.8	0	0	0	0				8	13	True	13	17	20	20
sp|P86432|PRVB2_ONCMY	sp|P86432|PRVB2_ONCMY	1	1	1	>sp|P86432|PRVB2_ONCMY Parvalbumin beta 2 OS=Oncorhynchus mykiss PE=1 SV=1	1	1	1	1	1	1	1	18.7	18.7	18.7	9.7867	107	107	1	0.0099129	18.7	0	0	0	0				9	14	True	14	18	21	21
